name,size,type,alignment,languages,ac,hp,cr,speed,swim,fly,climb,burrow,passive_perception,darkvision,truesight,tremorsense,blindsight,strength,str_mod,dex,dex_mod,con,con_mod,intel,int_mod,wis,wis_mod,cha,cha_mod,str_save,dex_save,con_save,int_save,wis_save,cha_save,history,perception,stealth,persuasion,insight,deception,arcana,religion,acrobatics,athletics,intimidation,senses,attributes,actions,legendary_actions,legendary,source
aarakocra,medium,humanoid (aarakocra),neutral good,"Auran, Aarakocra",12.0,13,0.25,20,0,50,0,0,15,0,0,0,0,10,0,14,2,10,0,11,0,12,1,11,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,passive Perception 15,"Dive Attack. If the aarakocra is flying and dives at least 30 feet straight toward a target and then hits it with a melee weapon attack, the attack deals an extra 3 (1d6) damage to the target. | ","Talon. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage. | Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage.",none,0,Monster Manual (BR)
abjurer,medium,humanoid (any race),any alignment,any four languages,12.0,84,9.0,30,0,0,0,0,11,0,0,0,0,9,-1,14,2,14,2,18,4,12,1,11,0,0,0,0,8,5,0,8,0,0,0,0,0,8,0,0,0,0,passive Perception 11,unavailable,unavailable,unavailable,0,Volo's Guide to Monsters
aboleth,large,aberration,lawful evil,"Deep Speech, telepathy 120 ft.",17.0,135,10.0,10,40,0,0,0,20,120,0,0,0,21,5,9,-1,15,2,18,4,15,2,18,4,0,0,6,8,6,0,12,10,0,0,0,0,0,0,0,0,0,"darkvision 120 ft., passive Perception 20","Amphibious. The aboleth can breathe air and water. | Mucous Cloud. While underwater, the aboleth is surrounded by transformative mucus. A creature that touches the aboleth or that hits it with a melee attack while within 5 feet of it must make a DC 14 Constitution saving throw. On a failure, the creature is diseased for 1d4 hours. The diseased creature can breathe only underwater. | Probing Telepathy. If a creature communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires if the aboleth can see the creature. | ","Multiattack. The aboleth makes three tentacle attacks. | Tentacle. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Constitution saving throw or become diseased. The disease has no effect for 1 minute and can be removed by any magic that cures disease. After 1 minute, the diseased creature's skin becomes translucent and slimy, the creature can't regain hit points unless it is underwater, and the disease can be removed only by heal or another disease-curing spell of 6th level or higher. When the creature is outside a body of water, it takes 6 (1d12) acid damage every 10 minutes unless moisture is applied to the skin before 10 minutes have passed. | Tail. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 15 (3d6 + 5) bludgeoning damage. | Enslave (3/Day). The aboleth targets one creature it can see within 30 feet of it. The target must succeed on a DC 14 Wisdom saving throw or be magically charmed by the aboleth until the aboleth dies or until it is on a different plane of existence from the target. The charmed target is under the aboleth's control and can't take reactions, and the aboleth and the target can communicate telepathically with each other over any distance. Whenever the charmed target takes damage, the target can repeat the saving throw. On a success, the effect ends. No more than once every 24 hours, the target can also repeat the saving throw when it is at least 1 mile away from the aboleth. | ","The aboleth can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The aboleth regains spent legendary actions at the start of its turn. | Detect. The aboleth makes a Wisdom (Perception) check. | Tail Swipe. The aboleth makes one tail attack. | Psychic Drain (Costs 2 Actions). One creature charmed by the aboleth takes 10 (3d6) psychic damage, and the aboleth regains hit points equal to the damage the creature takes.",1,Monster Manual (SRD)
abominable-yeti,huge,monstrosity,chaotic evil,Yeti,15.0,137,9.0,40,0,0,40,0,15,60,0,0,0,24,7,10,0,22,6,9,-1,13,1,9,-1,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,"darkvision 60 ft., passive Perception 15",unavailable,unavailable,unavailable,0,Monster Manual
acererak,medium,undead,neutral evil,"Abyssal, Common, Draconic, Dwarvish, Elvish, Giant, Infernal, Primordial, Undercommon",21.0,285,23.0,30,0,0,0,0,22,0,120,0,0,13,1,16,3,20,5,27,8,21,5,20,5,0,0,12,15,12,0,22,12,0,0,12,0,22,15,0,0,0,"truesight 120 ft., passive Perception 22",unavailable,unavailable,unavailable,0,Adventures (Tomb of Annihilation)
acolyte,medium,humanoid (any race),any alignment,any one language (usually Common),10.0,9,0.25,30,0,0,0,0,12,0,0,0,0,10,0,10,0,10,0,10,0,14,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,passive Perception 12,"Spellcasting. The acolyte is a 1st-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). The acolyte has following cleric spells prepared: | Cantrips (at will): light, sacred flame, thaumaturgy | 1st level (3 slots): bless, cure wounds, sanctuary | ","Club. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.",none,0,Monster Manual (SRD)
adult-black-dragon,huge,dragon,chaotic evil,"Common, Draconic",19.0,195,14.0,40,40,80,0,0,21,120,0,0,60,23,6,14,2,21,5,14,2,13,1,17,3,0,7,10,0,6,8,0,11,7,0,0,0,0,0,0,0,0,"blindsight 60 ft., darkvision 120 ft., passive Perception 21","Amphibious. The dragon can breathe air and water. | Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead. | ","Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws. | Bite. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 4 (1d8) acid damage. | Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage. | Tail. Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage. | Frightful Presence. Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours. | Acid Breath (Recharge 5-6). The dragon exhales acid in a 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 54 (12d8) acid damage on a failed save, or half as much damage on a successful one. | ","The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn. | Detect. The dragon makes a Wisdom (Perception) check. | Tail Attack. The dragon makes a tail attack. | Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.",1,Monster Manual (SRD)
adult-blue-dracolich,huge,undead,lawful evil,"Common, Draconic",19.0,225,17.0,40,0,80,0,30,24,120,0,0,60,25,7,10,0,23,6,16,3,15,2,19,4,0,6,12,0,8,10,0,14,6,0,0,0,0,0,0,0,0,"blindsight 60 ft., darkvision 120 ft., passive Perception 24",unavailable,unavailable,unavailable,1,Monster Manual
adult-blue-dragon,huge,dragon,lawful evil,"Common, Draconic",19.0,225,16.0,40,0,80,0,30,22,120,0,0,60,25,7,10,0,23,6,16,3,15,2,19,4,0,5,11,0,7,9,0,12,5,0,0,0,0,0,0,0,0,"blindsight 60 ft., darkvision 120 ft., passive Perception 22","Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead. | ","Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws. | Bite. Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage plus 5 (1d10) lightning damage. | Claw. Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage. | Tail. Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 16 (2d8 + 7) bludgeoning damage. | Frightful Presence. Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours. | Lightning Breath (Recharge 5-6). The dragon exhales lightning in a 90-foot line that is 5 feet wide. Each creature in that line must make a DC 19 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one. | ","The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn. | Detect. The dragon makes a Wisdom (Perception) check. | Tail Attack. The dragon makes a tail attack. | Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.",1,Monster Manual (SRD)
adult-brass-dragon,huge,dragon,chaotic good,"Common, Draconic",18.0,172,13.0,40,0,80,0,30,21,120,0,0,60,23,6,10,0,21,5,14,2,13,1,17,3,0,5,10,0,6,8,7,11,5,8,0,0,0,0,0,0,0,"blindsight 60 ft., darkvision 120 ft., passive Perception 21","Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead. | ","Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws. | Bite. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage. | Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage. | Tail. Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage. | Frightful Presence. Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours. | Breath Weapons (Recharge 5-6). The dragon uses one of the following breath weapons. | Fire Breath. The dragon exhales fire in an 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 45 (13d6) fire damage on a failed save, or half as much damage on a successful one. | Sleep Breath. The dragon exhales sleep gas in a 60-foot cone. Each creature in that area must succeed on a DC 18 Constitution saving throw or fall unconscious for 10 minutes. This effect ends for a creature if the creature takes damage or someone uses an action to wake it. | ","The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn. | Detect. The dragon makes a Wisdom (Perception) check. | Tail Attack. The dragon makes a tail attack. | Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying Speed.",1,Monster Manual (SRD)
